date,realgdp,unemp,infl,realint
1959-01-01,2710.349,5.8,0.0,0.0
1959-04-01,2778.801,5.1,2.34,0.74
1959-07-01,2775.488,5.3,2.74,1.09
1959-10-01,2785.204,5.6,0.27,4.06
1960-01-01,2847.699,5.2,2.31,1.19
1960-04-01,2834.39,5.2,0.14,2.55
1960-07-01,2839.022,5.6,2.7,-0.34
1960-10-01,2802.616,6.3,1.21,1.08
1961-01-01,2819.264,6.8,-0.4,2.77
1961-04-01,2872.005,7.0,1.47,0.81
1961-07-01,2918.419,6.8,0.8,1.52
1961-10-01,2977.83,6.2,0.8,1.8
1962-01-01,3031.241,5.6,2.26,0.47
1962-04-01,3064.709,5.5,0.13,2.65
1962-07-01,3093.047,5.6,2.11,0.67
1962-10-01,3100.563,5.5,0.79,2.08
1963-01-01,3141.087,5.8,0.53,2.38
1963-04-01,3180.447,5.7,2.75,0.29
1963-07-01,3240.332,5.5,0.78,2.6
1963-10-01,3264.967,5.6,2.46,1.06
1964-01-01,3338.246,5.5,0.13,3.38
1964-04-01,3376.587,5.2,0.9,2.57
1964-07-01,3422.469,5.0,1.29,2.25
1964-10-01,3431.957,5.0,2.05,1.71
1965-01-01,3516.251,4.9,1.28,2.65
1965-04-01,3563.96,4.7,2.54,1.3
1965-07-01,3636.285,4.4,0.89,3.04
1965-10-01,3724.014,4.1,2.9,1.46
1966-01-01,3815.423,3.9,4.99,-0.37
1966-04-01,3828.124,3.8,2.1,2.55
1966-07-01,3853.301,3.8,4.9,0.33
1966-10-01,3884.52,3.7,0.61,4.39
1967-01-01,3918.74,3.8,2.42,1.8
1967-04-01,3919.556,3.8,3.61,0.17
1967-07-01,3950.826,3.8,3.58,0.84
1967-10-01,3980.97,3.9,4.72,0.18
1968-01-01,4063.013,3.7,3.5,1.67
1968-04-01,4131.998,3.5,5.77,-0.28
1968-07-01,4160.267,3.5,4.56,0.65
1968-10-01,4178.293,3.4,4.51,1.34
1969-01-01,4244.1,3.4,6.67,-0.58
1969-04-01,4256.46,3.4,5.47,1.02
1969-07-01,4283.378,3.6,5.4,1.63
1969-10-01,4263.261,3.6,6.38,1.26
1970-01-01,4256.573,4.2,6.28,0.47
1970-04-01,4264.289,4.8,4.13,2.52
1970-07-01,4302.259,5.2,5.11,1.04
1970-10-01,4256.637,5.8,5.04,-0.18
1971-01-01,4374.016,5.9,2.0,1.65
1971-04-01,4398.829,5.9,4.96,-0.19
1971-07-01,4433.943,6.0,2.94,1.75
1971-10-01,4446.264,6.0,2.92,0.95
1972-01-01,4525.769,5.8,2.9,0.64
1972-04-01,4633.101,5.7,2.88,0.98
1972-07-01,4677.503,5.6,3.81,0.66
1972-10-01,4754.546,5.3,4.71,0.38
1973-01-01,4876.166,5.0,9.26,-3.28
1973-04-01,4932.571,4.9,4.55,2.64
1973-07-01,4906.252,4.8,12.47,-4.41
1973-10-01,4953.05,4.8,10.39,-2.71
1974-01-01,4909.617,5.1,10.96,-3.16
1974-04-01,4922.188,5.2,9.86,-1.96
1974-07-01,4873.52,5.6,13.56,-5.4
1974-10-01,4854.34,6.6,10.07,-3.11
1975-01-01,4795.295,8.2,5.32,0.22
1975-04-01,4831.942,8.9,7.48,-1.91
1975-07-01,4913.328,8.5,6.61,-0.34
1975-10-01,4977.511,8.3,6.5,-1.24
1976-01-01,5090.663,7.7,2.14,2.77
1976-04-01,5128.947,7.6,6.37,-1.09
1976-07-01,5154.072,7.7,6.27,-1.22
1976-10-01,5191.499,7.8,5.49,-0.92
1977-01-01,5251.762,7.5,8.76,-4.16
1977-04-01,5356.131,7.1,5.3,-0.24
1977-07-01,5451.921,6.9,5.23,0.59
1977-10-01,5450.793,6.6,7.08,-0.88
1978-01-01,5469.405,6.3,7.58,-1.24
1978-04-01,5684.569,6.0,9.89,-3.18
1978-07-01,5740.3,6.0,9.65,-2.01
1978-10-01,5816.222,5.9,8.26,0.76
1979-01-01,5825.949,5.9,12.08,-2.66
1979-04-01,5831.418,5.7,13.37,-4.07
1979-07-01,5873.335,5.9,11.88,-1.38
1979-10-01,5889.495,5.9,14.62,-2.68
1980-01-01,5908.467,6.3,14.6,-0.85
1980-04-01,5787.373,7.3,8.32,-0.42
1980-07-01,5776.617,7.7,10.04,0.3
1980-10-01,5883.46,7.4,11.64,3.11
1981-01-01,6005.717,7.4,8.62,5.32
1981-04-01,5957.795,7.4,10.63,4.69
1981-07-01,6030.184,7.4,8.22,6.36
1981-10-01,5955.062,8.2,4.26,7.07
1982-01-01,5857.333,8.8,2.53,10.42
1982-04-01,5889.074,9.4,10.39,1.58
1982-07-01,5866.37,9.9,2.45,5.65
1982-10-01,5871.001,10.7,-0.82,8.77
1983-01-01,5944.02,10.4,3.66,4.56
1983-04-01,6077.619,10.1,4.03,4.66
1983-07-01,6197.468,9.4,3.99,5.01
1983-10-01,6325.574,8.5,5.13,3.76
1984-01-01,6448.264,7.9,4.67,4.76
1984-04-01,6559.594,7.5,3.09,6.85
1984-07-01,6623.343,7.4,3.82,6.37
1984-10-01,6677.264,7.3,2.28,5.87
1985-01-01,6740.275,7.3,4.89,3.36
1985-04-01,6797.344,7.3,2.61,4.56
1985-07-01,6903.523,7.2,2.96,4.17
1985-10-01,6955.918,7.0,5.13,2.01
1986-01-01,7022.757,7.0,-4.39,10.95
1986-04-01,7050.969,7.2,2.93,3.13
1986-07-01,7118.95,7.0,2.55,2.76
1986-10-01,7153.359,6.8,4.33,1.1
1987-01-01,7193.019,6.6,4.64,0.97
1987-04-01,7269.51,6.3,3.89,1.79
1987-07-01,7332.558,6.0,4.2,1.99
1987-10-01,7458.022,5.9,3.46,2.29
1988-01-01,7496.6,5.7,4.12,1.64
1988-04-01,7592.881,5.5,4.41,2.07
1988-07-01,7632.082,5.5,4.7,2.52
1988-10-01,7733.991,5.3,4.31,3.72
1989-01-01,7806.603,5.2,6.22,2.44
1989-04-01,7865.016,5.2,4.52,3.63
1989-07-01,7927.393,5.3,2.88,4.88
1989-10-01,7944.697,5.4,6.64,1.01
1990-01-01,8027.693,5.3,4.37,3.44
1990-04-01,8059.598,5.3,4.93,2.76
1990-07-01,8059.476,5.7,8.79,-1.46
1990-10-01,7988.864,6.1,3.88,2.79
1991-01-01,7950.164,6.6,1.19,4.65
1991-04-01,8003.822,6.8,3.24,2.29
1991-07-01,8037.538,6.9,2.93,2.25
1991-10-01,8069.046,7.1,3.19,0.95
1992-01-01,8157.616,7.4,3.17,0.71
1992-04-01,8244.294,7.6,3.14,0.36
1992-07-01,8329.361,7.6,3.4,-0.44
1992-10-01,8417.016,7.4,3.09,0.02
1993-01-01,8432.485,7.2,2.79,0.13
1993-04-01,8486.435,7.1,1.94,1.08
1993-07-01,8531.108,6.8,3.03,-0.04
1993-10-01,8643.769,6.6,1.92,1.13
1994-01-01,8727.919,6.6,2.45,1.02
1994-04-01,8847.303,6.2,3.25,0.96
1994-07-01,8904.289,6.0,2.69,2.0
1994-10-01,9003.18,5.6,2.93,2.6
1995-01-01,9025.267,5.5,3.44,2.28
1995-04-01,9044.668,5.7,2.1,3.42
1995-07-01,9120.684,5.7,2.35,2.97
1995-10-01,9184.275,5.6,3.11,2.05
1996-01-01,9247.188,5.5,3.6,1.31
1996-04-01,9407.052,5.5,2.3,2.79
1996-07-01,9488.879,5.3,3.05,2.0
1996-10-01,9592.458,5.3,3.02,1.97
1997-01-01,9666.235,5.2,1.25,3.85
1997-04-01,9809.551,5.0,1.25,3.76
1997-07-01,9932.672,4.9,2.73,2.29
1997-10-01,10008.874,4.7,1.24,3.88
1998-01-01,10103.425,4.6,0.49,4.53
1998-04-01,10194.277,4.4,2.46,2.52
1998-07-01,10328.787,4.5,1.71,2.78
1998-10-01,10507.575,4.4,1.95,2.43
1999-01-01,10601.179,4.3,2.9,1.49
1999-04-01,10684.049,4.3,1.92,2.62
1999-07-01,10819.914,4.2,3.35,1.41
1999-10-01,11014.254,4.1,2.85,2.35
2000-01-01,11043.044,4.0,3.76,1.87
2000-04-01,11258.454,3.9,4.19,1.62
2000-07-01,11267.867,4.0,2.77,3.3
2000-10-01,11334.544,3.9,3.89,1.81
2001-01-01,11297.171,4.2,1.82,2.57
2001-04-01,11371.251,4.4,2.26,1.28
2001-07-01,11340.075,4.8,0.45,2.27
2001-10-01,11380.128,5.5,0.23,1.51
2002-01-01,11477.868,5.7,3.59,-1.84
2002-04-01,11538.77,5.8,1.56,0.14
2002-07-01,11596.43,5.7,2.66,-1.05
2002-10-01,11598.824,5.8,3.08,-1.88
2003-01-01,11645.819,5.9,1.31,-0.17
2003-04-01,11738.706,6.2,1.09,-0.13
2003-07-01,11935.461,6.1,2.6,-1.67
2003-10-01,12042.817,5.8,3.02,-2.11
2004-01-01,12127.623,5.7,2.35,-1.42
2004-04-01,12213.818,5.6,3.61,-2.41
2004-07-01,12303.533,5.4,3.58,-1.95
2004-10-01,12410.282,5.4,2.09,0.11
2005-01-01,12534.113,5.3,4.15,-1.46
2005-04-01,12587.535,5.1,1.85,1.16
2005-07-01,12683.153,5.0,9.14,-5.62
2005-10-01,12748.699,4.9,0.4,3.6
2006-01-01,12915.938,4.7,2.6,1.91
2006-04-01,12962.462,4.7,3.97,0.85
2006-07-01,12965.916,4.7,-1.58,6.48
2006-10-01,13060.679,4.4,3.3,1.62
2007-01-01,13099.901,4.5,4.58,0.36
2007-04-01,13203.977,4.5,2.75,1.97
2007-07-01,13321.109,4.7,3.45,0.55
2007-10-01,13391.249,4.8,6.38,-3.37
2008-01-01,13366.865,4.9,2.82,-1.26
2008-04-01,13415.266,5.4,8.53,-6.79
2008-07-01,13324.6,6.0,-3.16,4.33
2008-10-01,13141.92,6.9,-8.79,8.91
2009-01-01,12925.41,8.1,0.94,-0.71
2009-04-01,12901.504,9.2,3.37,-3.19
